time="2023-12-25T11:36:11.603" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:36:14.605" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:36:14.605" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:36:17.606" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:36:17.607" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:36:20.608" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:36:20.608" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:36:23.610" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:36:23.610" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:36:26.612" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:36:26.612" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:36:29.613" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:36:29.613" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:36:32.615" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:36:32.615" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:36:35.617" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:36:35.617" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:36:38.619" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:36:38.619" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:36:41.621" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:36:41.621" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:36:44.623" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:36:44.623" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:36:47.624" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:36:47.624" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:36:50.626" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:36:50.626" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:36:53.628" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:36:53.628" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:36:56.629" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:36:56.629" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:36:59.631" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:36:59.631" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:37:02.633" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:37:02.633" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:37:05.635" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:37:05.635" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:37:08.636" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:37:08.636" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:37:11.638" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:37:11.638" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:37:14.640" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:37:14.640" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:37:17.642" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:37:17.642" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:37:20.643" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:37:20.643" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:37:23.645" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:37:23.645" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:37:26.647" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:37:26.647" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:37:29.648" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:37:29.648" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:37:32.650" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:37:32.650" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:37:35.652" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:37:35.652" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:37:38.653" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:37:38.654" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:37:41.658" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:37:41.658" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:37:44.659" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:37:44.659" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:37:47.661" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:37:47.661" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:37:50.663" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:37:50.663" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:37:53.665" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:37:53.665" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:37:56.666" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:37:56.666" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:37:59.669" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:37:59.669" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:38:02.670" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:38:02.670" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:38:05.672" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:38:05.672" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
