hostname,value,timestamp,id
master,-358.915912,1696162701,OutSegs
node_3,170.383118,1696162701,InSegs
node_3,-251.430138,1696162701,OutSegs
node_1,177.7461036,1696162701,InSegs
node_1,-247.6135536,1696162701,OutSegs
node_2,9.8147757,1696162701,InSegs
node_2,-99.1806509,1696162701,OutSegs
master,163.094192,1696162706,InSegs
master,-285.74438,1696162706,OutSegs
node_3,29.6168754,1696162706,InSegs
node_3,-110.5698872,1696162706,OutSegs
node_1,49.1559166,1696162706,InSegs
node_1,-124.755908,1696162706,OutSegs
node_2,196.126822,1696162706,InSegs
node_2,-286.72684,1696162706,OutSegs
master,165.439518,1696162711,InSegs
master,-291.345622,1696162711,OutSegs
node_3,140.155074,1696162711,InSegs
node_3,-223.96863,1696162711,OutSegs
node_1,152.1550196,1696162711,InSegs
node_1,-222.5549958,1696162711,OutSegs
node_2,31.5987423,1696162711,InSegs
node_2,-122.9203303,1696162711,OutSegs
master,215.303938,1696162716,InSegs
master,-343.480568,1696162716,OutSegs
node_3,64.0449262,1696162716,InSegs
node_3,-144.6313618,1696162716,OutSegs
node_1,128.5489803,1696162716,InSegs
node_1,-203.2604483,1696162716,OutSegs
node_2,180.001288,1696162716,InSegs
node_2,-269.479708,1696162716,OutSegs
master,139.228956,1696162721,InSegs
master,-253.37785,1696162721,OutSegs
node_3,134.5439062,1696162721,InSegs
node_3,-217.609284,1696162721,OutSegs
node_1,71.1400724,1696162721,InSegs
node_1,-144.0286356,1696162721,OutSegs
node_2,49.2650942,1696162721,InSegs
node_2,-140.7918822,1696162721,OutSegs
master,231.619926,1696162726,InSegs
master,-378.36458,1696162726,OutSegs
node_3,67.6560846,1696162726,InSegs
node_3,-149.5907208,1696162726,OutSegs
node_1,193.575532,1696162726,InSegs
node_1,-264.708722,1696162726,OutSegs
node_2,152.608051,1696162726,InSegs
node_2,-241.281252,1696162726,OutSegs
master,119.690504,1696162731,InSegs
master,-221.196974,1696162731,OutSegs
node_3,53.3999996,1696162731,InSegs
node_3,-137.7999868,1696162731,OutSegs
node_1,10.8244788,1696162731,InSegs
node_1,-83.6912666,1696162731,OutSegs
node_2,56.800002,1696162731,InSegs
node_2,-147.800002,1696162731,OutSegs
master,474.71852,1696162736,InSegs
master,-639.8862,1696162736,OutSegs
node_3,165.3999964,1696162736,InSegs
node_3,-243.7999936,1696162736,OutSegs
node_1,208.399994,1696162736,InSegs
node_1,-284.2,1696162736,OutSegs
node_2,157.199998,1696162736,InSegs
node_2,-244.800002,1696162736,OutSegs
master,66.1623288,1696162741,InSegs
master,-161.5495288,1696162741,OutSegs
node_3,54.8,1696162741,InSegs
node_3,-138.200013,1696162741,OutSegs
node_1,26.564502,1696162741,InSegs
node_1,-101.185966,1696162741,OutSegs
node_2,121.6557341,1696162741,InSegs
node_2,-212.1339701,1696162741,OutSegs
master,311.728292,1696162746,InSegs
master,-473.89596,1696162746,OutSegs
node_3,158.3167068,1696162746,InSegs
node_3,-237.8334122,1696162746,OutSegs
node_1,199.435486,1696162746,InSegs
node_1,-256.214022,1696162746,OutSegs
node_2,86.9442828,1696162746,InSegs
node_2,-172.4660288,1696162746,OutSegs
master,100.1065446,1696162751,InSegs
master,-206.2396994,1696162751,OutSegs
node_3,42.8087631,1696162751,InSegs
node_3,-126.2426218,1696162751,OutSegs
node_1,49.0576278,1696162751,InSegs
node_1,-124.546682,1696162751,OutSegs
node_2,152.994312,1696162751,InSegs
node_2,-243.619938,1696162751,OutSegs
master,262.190744,1696162756,InSegs
master,-409.735044,1696162756,OutSegs
